z,H(z),s_H,Reference
0.07,69.0,19.6,Zhang et al. (2014)
0.09,69.0,11.9991,Simon et al. (2005)
0.12,68.6,26.2,Zhang et al. (2014)
0.17,83.0,8.00037,Simon et al. (2005)
0.1791,74.91,3.8069262,Moresco et al. (2012)
0.1993,74.96,4.9001352,Moresco et al. (2012)
0.2,72.9,29.6,Zhang et al. (2014)
0.27,77.0,13.9986,Simon et al. (2005)
0.28,88.8,36.6,Zhang et al. (2014)
0.3519,82.78,13.94843,Moresco et al. (2012)
0.3802,83.0,13.54,Moresco et al. (2016)
0.4,95.0,16.9955,Simon et al. (2005)
0.4004,76.97,10.18,Moresco et al. (2016)
0.4247,87.08,11.24,Moresco et al. (2016)
0.4497,92.78,12.9,Moresco et al. (2016)
0.4783,80.91,9.044,Moresco et al. (2016)
0.47,89.0,49.6,Ratsimbazafy et al. (2017)
0.48,97.0,62.0024,Stern et al. (2010)
0.5929,103.8,12.49752,Moresco et al. (2012)
0.6797,91.6,7.961872,Moresco et al. (2012)
0.75,98.8,33.6,Borghi et al. (2022)
0.7812,104.5,12.19515,Moresco et al. (2012)
0.8754,125.1,16.70085,Moresco et al. (2012)
0.88,90.0,39.996,Stern et al. (2010)
0.9,117.0,23.0022,Simon et al. (2005)
1.037,153.7,19.6736,Moresco et al. (2012)
1.3,168.0,17.0016,Simon et al. (2005)
1.363,160.0,33.58,Moresco (2015)
1.43,177.0,18.0009,Simon et al. (2005)
1.53,140.0,14.0,Simon et al. (2005)
1.75,202.0,39.996,Simon et al. (2005)
1.965,186.5,50.43,Moresco (2015)
